,open,close,high,low,volume
2012/2/14 00:00:00.005,3516.61,3524.63,3529.49,3493.91,3590482500
2012/2/15 00:00:00.005,3518.79,3578.15,3580.28,3505.36,4362573000
2012/2/16 00:00:00.005,3572.32,3577.2,3607.75,3540.85,4377796500
2012/2/17 00:00:00.005,3582.51,3565.31,3596.86,3530.96,3280805200
2012/2/20 00:00:00.005,3610.74,3574.46,3618.68,3573.22,4039259700
2012/2/21 00:00:00.005,3569.23,3618.3,3618.33,3533.11,3680377600
2012/2/22 00:00:00.005,3617.18,3689,3689.13,3616.11,5179167100
2012/2/23 00:00:00.005,3686.73,3700.89,3711.12,3662.42,4694868800
2012/2/24 00:00:00.005,3698.68,3756.82,3757.52,3689.36,5658942700
2012/2/27 00:00:00.005,3767.6,3764.33,3822.26,3764.17,6574951100
2012/2/28 00:00:00.005,3748.34,3745.58,3761.73,3696.21,4900866200
2012/2/29 00:00:00.005,3733.63,3696.14,3750.46,3691.98,4041516000
2012/3/1 00:00:00.005,3679.04,3715.67,3737.72,3675.28,3563681000
2012/3/2 00:00:00.005,3719.96,3794.42,3794.58,3719.96,4623462800
2012/3/5 00:00:00.005,3805.68,3798.38,3825.72,3793.69,4910451700
2012/3/6 00:00:00.005,3786.16,3760.59,3786.16,3729.6,4563923600
2012/3/7 00:00:00.005,3718.76,3732.71,3780.48,3707.79,4210384000
2012/3/8 00:00:00.005,3741.48,3791.83,3803.37,3741.48,4320005300
2012/3/9 00:00:00.005,3802.09,3848.11,3848.11,3787.91,4400341800
2012/3/12 00:00:00.005,3852.61,3871.12,3876.17,3839.43,4707843700
2012/3/13 00:00:00.005,3867.97,3910.06,3910.06,3856.41,4749636800
2012/3/14 00:00:00.005,3924.49,3734.32,3945.31,3709.09,7659077500
2012/3/15 00:00:00.005,3726.36,3689.01,3754.73,3635.68,5089393600
2012/3/16 00:00:00.005,3693.32,3786.62,3786.62,3687.81,4553522600
2012/3/19 00:00:00.005,3788.39,3829.7,3830.02,3762.3,4540098300
2012/3/20 00:00:00.005,3819.72,3746.28,3819.72,3744.81,4141484200
2012/3/21 00:00:00.005,3757,3760.05,3782.41,3700.49,4028183200
2012/3/22 00:00:00.005,3754.87,3742.39,3769.37,3720.68,3365333800
2012/3/23 00:00:00.005,3727.15,3670.13,3728.62,3652.23,3286979300
2012/3/26 00:00:00.005,3661.39,3666.28,3680.29,3635.67,2488481600
2012/3/27 00:00:00.005,3681.74,3652.88,3699.16,3648.75,2610910300
2012/3/28 00:00:00.005,3638.77,3490.01,3638.77,3483.58,3627013500
2012/3/29 00:00:00.005,3471.36,3425.7,3482.33,3391.8,3080146600
2012/3/30 00:00:00.005,3422.81,3416.86,3445.47,3383.53,2482601700
2012/4/5 00:00:00.005,3420.03,3531.55,3532.08,3412.44,2935244800
2012/4/6 00:00:00.005,3530.63,3554.03,3570.59,3520.89,3006546600
2012/4/9 00:00:00.005,3544.01,3512.91,3563.34,3512.36,2582002700
2012/4/10 00:00:00.005,3496.13,3554.04,3554.22,3432.36,2882622300
2012/4/11 00:00:00.005,3513.5,3566.48,3582.95,3497.94,3272145100
2012/4/12 00:00:00.005,3568.82,3640.41,3640.41,3561.05,4179733400
2012/4/13 00:00:00.005,3653.6,3675.03,3695.13,3643.47,4822225700
2012/4/16 00:00:00.005,3644.67,3685.48,3702.41,3632.85,4422581500
2012/4/17 00:00:00.005,3679.92,3631.56,3702.84,3629.82,4285433200
2012/4/18 00:00:00.005,3637.55,3714.02,3717.54,3632.67,4425445000
2012/4/19 00:00:00.005,3712.53,3704.7,3728.86,3684.86,4036202200
2012/4/20 00:00:00.005,3696.66,3736.36,3743.49,3684.23,4583035900
2012/4/23 00:00:00.005,3731.55,3691.57,3739.15,3673.31,5316741000
2012/4/24 00:00:00.005,3658.61,3666.39,3709.37,3557.78,5573181400
2012/4/25 00:00:00.005,3654.75,3718.91,3728.55,3645.07,6291045400
2012/4/26 00:00:00.005,3720.74,3700.03,3729.91,3683.43,5345881700
2012/4/27 00:00:00.005,3690.16,3664.64,3699.1,3659.11,3884701500
2012/5/2 00:00:00.005,3707.82,3718.26,3735.9,3674.96,4765640400
2012/5/3 00:00:00.005,3707.51,3733.82,3735.32,3701.2,4161311800
2012/5/4 00:00:00.005,3730.72,3758,3761.97,3713.99,4067145100
2012/5/7 00:00:00.005,3741.66,3784.56,3784.57,3733.84,4231275700
2012/5/8 00:00:00.005,3783.08,3783.47,3798.05,3752.39,4079656300
2012/5/9 00:00:00.005,3759.39,3717.47,3759.39,3716.13,3933110600
2012/5/10 00:00:00.005,3713.4,3731.13,3744.52,3713.31,3239118000
2012/5/11 00:00:00.005,3727.59,3715.39,3753.82,3715.06,3236015900
2012/5/14 00:00:00.005,3745.83,3710.1,3760.88,3706.16,3797367600
2012/5/15 00:00:00.005,3679.34,3705.88,3705.9,3652.87,3311038200
2012/5/16 00:00:00.005,3696.61,3660.31,3707.81,3660.03,3259432600
2012/5/17 00:00:00.005,3656.82,3714.19,3716.71,3643.79,3667487000
2012/5/18 00:00:00.005,3691.64,3655.86,3710.41,3645.91,3775156800
2012/5/21 00:00:00.005,3650.92,3653.55,3676.97,3616.91,3149620100
2012/5/22 00:00:00.005,3666.14,3711.05,3711.05,3666.14,3453119000
2012/5/23 00:00:00.005,3702.81,3708.92,3723.19,3670.03,4001372500
2012/5/24 00:00:00.005,3697.92,3678.09,3720.44,3668.28,3748289500
2012/5/25 00:00:00.005,3675.51,3635.52,3683.63,3622.1,3569443600
2012/5/28 00:00:00.005,3622.13,3687.45,3687.52,3568.03,4196548400
2012/5/29 00:00:00.005,3686.57,3745.68,3748.44,3683.52,4761059300
2012/5/30 00:00:00.005,3739.04,3752.22,3764.64,3734.25,3961972000
2012/5/31 00:00:00.005,3732.47,3753.59,3775.37,3722.04,3678437800
2012/6/1 00:00:00.005,3752.02,3744.44,3769.52,3725.28,3495140000
2012/6/4 00:00:00.005,3684.04,3621.81,3707.31,3621.81,3714006400
2012/6/5 00:00:00.005,3625.14,3617.61,3646.51,3603.37,2779218400
2012/6/6 00:00:00.005,3621.64,3600.16,3638.56,3585.53,2540549900
2012/6/7 00:00:00.005,3635.57,3581.14,3647.28,3572.49,2562953700
2012/6/8 00:00:00.005,3615.11,3564.16,3618.78,3557.04,2618253900
2012/6/11 00:00:00.005,3565.34,3630.31,3630.96,3554.19,2678314300
2012/6/12 00:00:00.005,3611.92,3608.39,3628.24,3594.61,2531887500
