,open,close,high,low,volume,money
2016-11-01,6457.0,6507.95,6508.36,6450.02,6253990200.0,72251174359.0
2016-11-02,6494.98,6455.13,6506.78,6450.05,7229906800.0,82898303275.0
2016-11-03,6442.35,6483.73,6521.0,6436.91,7754984500.0,88683292154.0
2016-11-04,6482.6,6462.59,6502.74,6449.56,7063540600.0,81640501576.0
2016-11-07,6461.0,6468.82,6487.06,6437.74,6881212600.0,76326265918.0
2016-11-08,6487.65,6503.18,6518.19,6476.44,7244487800.0,78508137415.0
2016-11-09,6504.41,6453.57,6507.86,6380.57,8806010200.0,96517280987.0
2016-11-10,6501.64,6536.97,6538.74,6501.64,9062523800.0,96157565168.0
2016-11-11,6539.36,6583.89,6584.41,6527.45,11037159400.0,117683140548.0
2016-11-14,6568.66,6615.01,6624.21,6566.05,12666934300.0,129072810284.0
2016-11-15,6622.88,6640.46,6641.04,6602.28,10511091200.0,107784604579.0
2016-11-16,6647.53,6644.19,6658.43,6630.12,9546867600.0,102794053203.0
2016-11-17,6633.31,6636.47,6646.31,6596.9,8453531200.0,87728988756.0
2016-11-18,6632.63,6602.33,6643.94,6592.84,8127855100.0,86902679609.0
2016-11-21,6597.17,6611.54,6635.89,6591.98,7875184400.0,90652603587.0
2016-11-22,6619.85,6661.25,6661.54,6617.07,9217780900.0,101984600257.0
2016-11-23,6668.25,6631.17,6676.67,6617.78,9396324000.0,103904384971.0
2016-11-24,6635.22,6623.05,6656.97,6607.03,9358629900.0,104720238937.0
2016-11-25,6620.22,6652.82,6652.92,6531.37,8893463600.0,100029174595.0
2016-11-28,6667.27,6670.8,6692.14,6650.92,9574136600.0,106722283957.0
2016-11-29,6658.36,6620.79,6681.88,6619.04,10144690600.0,112700270233.0
2016-11-30,6605.36,6585.58,6615.92,6568.8,8152681300.0,91354956779.0
2016-12-01,6593.59,6624.47,6624.85,6593.07,7781850900.0,87662536456.0
2016-12-02,6617.87,6520.97,6623.79,6520.97,8109752500.0,91203225960.0
2016-12-05,6462.26,6486.02,6522.6,6451.08,6682182100.0,75623703982.0
2016-12-06,6496.16,6490.89,6514.03,6484.98,5200919800.0,61621652399.0
2016-12-07,6493.0,6558.02,6558.24,6481.92,5940641400.0,67819689395.0
2016-12-08,6561.72,6527.43,6562.66,6522.96,5698976300.0,67589603421.0
2016-12-09,6519.39,6513.92,6534.9,6500.21,5921829100.0,71500666286.0
2016-12-12,6512.96,6249.08,6519.63,6241.61,9473677800.0,107463242985.0
2016-12-13,6235.56,6278.18,6292.8,6190.39,6520672800.0,75946019132.0
2016-12-14,6269.08,6239.5,6299.04,6216.95,6897758400.0,81065251163.0
2016-12-15,6216.14,6280.4,6310.74,6211.27,6473297300.0,75209830320.0
2016-12-16,6279.28,6318.52,6329.19,6273.0,6220417600.0,71330845123.0
2016-12-19,6319.86,6320.73,6330.38,6297.37,6257915800.0,70180562733.0
2016-12-20,6314.61,6300.64,6315.54,6275.31,6092065700.0,65544588691.0
2016-12-21,6311.06,6347.61,6348.38,6311.06,6363287000.0,70594550290.0
2016-12-22,6341.2,6341.79,6350.27,6313.86,5961720700.0,64478216465.0
2016-12-23,6339.35,6282.0,6343.85,6277.66,5718248200.0,64218562488.0
2016-12-26,6260.34,6294.75,6295.24,6194.27,5444435800.0,60864353719.0
2016-12-27,6291.65,6288.86,6311.04,6284.04,4927552400.0,56430287095.0
2016-12-28,6288.73,6270.24,6295.89,6257.1,4857416500.0,54961473637.0
2016-12-29,6261.87,6252.61,6286.74,6242.98,4502814200.0,51113318088.0
2016-12-30,6255.62,6263.63,6275.55,6241.72,4692493700.0,54554271036.0
2017-01-03,6273.82,6320.76,6320.95,6273.75,4857779100.0,57302999275.0
2017-01-04,6321.75,6394.67,6395.0,6314.13,6673942300.0,78531887327.0
2017-01-05,6391.58,6399.28,6412.87,6385.12,6144520300.0,72267790981.0
2017-01-06,6398.86,6371.62,6401.74,6364.89,6490247300.0,73723002444.0
2017-01-09,6365.39,6415.42,6415.47,6357.36,6397903100.0,74310358181.0
2017-01-10,6412.76,6393.93,6428.83,6388.92,6821068400.0,76722142933.0
2017-01-11,6381.7,6331.96,6402.9,6331.51,6284335900.0,68331890909.0
2017-01-12,6325.62,6272.85,6339.32,6269.2,5343363400.0,57259476375.0
2017-01-13,6272.79,6194.66,6282.72,6182.1,5361148400.0,58444907279.0
2017-01-16,6184.13,6031.24,6184.34,5872.4,7895834800.0,82148409479.0
2017-01-17,6006.08,6082.07,6082.2,5957.04,5054089800.0,54018905762.0
2017-01-18,6067.17,6068.59,6098.78,6049.97,4614218000.0,48404585975.0
2017-01-19,6054.73,6043.68,6074.46,6029.64,4441961600.0,45854100379.0
2017-01-20,6037.56,6122.0,6129.58,6034.97,4571735400.0,49013086160.0
2017-01-23,6130.44,6172.17,6189.17,6130.2,5038973600.0,52727412759.0
2017-01-24,6167.84,6165.26,6177.21,6154.07,5012780300.0,49571128604.0
2017-01-25,6156.78,6179.57,6187.43,6152.14,4297428800.0,43740185010.0
2017-01-26,6183.16,6223.71,6224.19,6183.16,4054247700.0,41944886987.0
2017-02-03,6227.46,6207.09,6231.6,6190.83,3554149100.0,37929189875.0
2017-02-06,6206.54,6259.25,6259.41,6195.5,4575565600.0,50034776941.0
2017-02-07,6254.2,6255.93,6269.46,6223.54,5092823200.0,53950802890.0
2017-02-08,6248.47,6291.6,6291.77,6219.02,5388511900.0,57742142041.0
2017-02-09,6288.88,6331.18,6331.33,6285.73,7272232900.0,74903715864.0
2017-02-10,6329.68,6337.11,6350.34,6320.25,8937713900.0,87202785397.0
2017-02-13,6341.73,6369.65,6370.21,6331.96,8376505400.0,84625077163.0
2017-02-14,6366.94,6374.89,6378.06,6346.59,7606862900.0,75879186213.0
2017-02-15,6367.64,6311.7,6379.79,6301.01,8407660700.0,84745249693.0
2017-02-16,6308.32,6359.34,6363.87,6306.51,7507458100.0,75785517261.0
2017-02-17,6356.09,6307.16,6365.7,6300.51,7907995200.0,80705736069.0
2017-02-20,6307.23,6385.06,6385.06,6307.23,7412663600.0,80325702731.0
2017-02-21,6390.51,6434.44,6434.53,6386.9,7889690100.0,86222033428.0
2017-02-22,6432.75,6474.23,6474.49,6431.41,8752564100.0,95597767122.0
2017-02-23,6470.62,6473.99,6482.25,6435.75,8936667800.0,99277240144.0
2017-02-24,6466.18,6476.17,6477.42,6445.07,7625812700.0,85426215440.0
2017-02-27,6476.38,6424.25,6480.19,6417.78,7224501000.0,81011815135.0
2017-02-28,6425.0,6450.97,6451.29,6414.78,6303112600.0,71170206500.0
2017-03-01,6446.44,6467.64,6488.82,6440.81,7247967100.0,83177653149.0
2017-03-02,6476.11,6434.63,6484.12,6431.44,7206417200.0,84092921492.0
2017-03-03,6417.39,6452.84,6457.23,6398.88,6525325300.0,78891589125.0
